date,lat,long
2023-07-31,39.301433,-76.664522
2023-08-18,39.342229,-76.684559
2023-07-03,39.284815,-76.588658
2023-07-31,39.333653,-76.661807
2023-08-18,39.29221,-76.629324
2023-08-04,39.368895,-76.56651
2023-07-02,39.230594,-76.601227
2023-08-18,39.281168,-76.574851
2023-07-08,39.301341,-76.609006
2023-08-26,39.307168,-76.648076
2023-09-09,39.314751,-76.545897
2023-07-16,39.338013,-76.667341
2023-07-08,39.322522,-76.576772
2023-07-08,39.301341,-76.609006
2023-08-14,39.300547,-76.59461
2023-08-03,39.284965,-76.623534
2023-06-11,39.228376,-76.587196
2023-06-10,39.28159,-76.651945
2023-07-02,39.230594,-76.601227
2023-08-04,39.297886,-76.638726
2023-08-04,39.28445,-76.639394
2023-06-19,39.327351,-76.665497
2023-07-16,39.319277,-76.566423
2023-07-11,39.304304,-76.6357
2023-06-14,39.310873,-76.591067
2023-06-28,39.31681,-76.59536
2023-05-25,39.294883,-76.622703
2023-05-24,39.324735,-76.565498
2023-06-25,39.300771,-76.59783
2023-07-22,39.351489,-76.682815
2023-07-17,39.303753,-76.644181
2023-05-31,39.267349,-76.651621
2023-07-27,39.24179,-76.609657
2023-08-20,39.298803,-76.611639
2023-08-20,39.298803,-76.611639
2023-06-10,39.319993,-76.610771
2023-05-21,39.317123,-76.668589
2023-06-26,39.287553,-76.593774
2023-05-21,39.340537,-76.667206
2023-06-16,39.286645,-76.653024
2023-08-05,39.305825,-76.58421
2023-06-29,39.263575,-76.640765
2023-06-01,39.327414,-76.531183
2023-06-30,39.301947,-76.632783
2023-05-27,39.321837,-76.590197
2023-06-24,39.303539,-76.629109
2023-06-25,39.350376,-76.680783
2023-05-20,39.296384,-76.625935
2023-05-24,39.33572,-76.554977
2023-06-05,39.279219,-76.544735
2023-05-01,39.305279,-76.597959
2023-06-05,39.297612,-76.623747
2023-04-10,39.315389,-76.667995
2023-06-03,39.287321,-76.54543
2023-06-16,39.289626,-76.643926
2023-05-15,39.306575,-76.654848
2023-06-09,39.360507,-76.567958
2023-04-06,39.274665,-76.543446
2023-06-06,39.284415,-76.643638
2023-06-28,39.342413,-76.682887
2023-06-16,39.290317,-76.655803
2023-05-20,39.294256,-76.603673
2023-05-06,39.287064,-76.650076
2023-04-18,39.23372,-76.605352
2023-04-10,39.281383,-76.693772
2023-05-23,39.293643,-76.653379
2023-05-15,39.315776,-76.606844
2023-05-14,39.346342,-76.599438
2023-04-17,39.293401,-76.604015
2023-04-12,39.289913,-76.605717
2023-04-11,39.28953,-76.647091
2023-04-11,39.301186,-76.578279
2023-06-29,39.253042,-76.652489
2023-04-16,39.263198,-76.642279
2023-05-04,39.301169,-76.631824
2023-05-01,39.316277,-76.601368
2023-04-30,39.281234,-76.581203
2023-04-20,39.267349,-76.651621
2023-05-04,39.301169,-76.631824
2023-02-19,39.316383,-76.594778
2023-05-06,39.358766,-76.573294
2023-05-10,39.330311,-76.534602
2023-05-11,39.319656,-76.691167
2023-04-10,39.366405,-76.601438
2023-04-09,39.327398,-76.594526
2023-03-11,39.290509,-76.563539
2023-05-14,39.26841,-76.650583
2023-04-09,39.305437,-76.639926
2023-04-04,39.290003,-76.57597
2023-04-03,39.287783,-76.539899
2023-04-07,39.309933,-76.644195
2023-03-24,39.30611,-76.576559
2023-02-26,39.319253,-76.551691
2023-02-20,39.30915,-76.662371
2023-04-29,39.297194,-76.580136
2023-02-14,39.251618,-76.625964
2023-05-05,39.365549,-76.554411
2023-02-14,39.28286,-76.630481
2023-02-14,39.306143,-76.575953
2023-02-21,39.283377,-76.649736
2023-05-15,39.26841,-76.650583
2023-02-26,39.292777,-76.675544
2023-03-21,39.295092,-76.650527
2023-03-22,39.233835,-76.59836
2023-04-02,39.362666,-76.545357
2023-04-02,39.362666,-76.545357
2023-03-23,39.35443,-76.556041
2023-03-22,39.263099,-76.642039
2023-04-25,39.291276,-76.648913
2023-03-02,39.32172,-76.57362
2023-03-24,39.356457,-76.60998
2023-03-23,39.294408,-76.663391
2023-03-12,39.298666,-76.628712
2023-03-13,39.31995,-76.595343
2023-04-16,39.366331,-76.551232
2023-04-13,39.290538,-76.649399
2023-03-29,39.295467,-76.650548
2023-03-16,39.36823,-76.56702
2023-03-16,39.296098,-76.635762
2023-04-02,39.362666,-76.545357
2023-02-15,39.312595,-76.585912
2023-01-18,39.303968,-76.635289
2023-01-23,39.293,-76.572319
2023-02-13,39.298818,-76.646809
2023-02-27,39.299927,-76.583156
2023-04-30,39.295251,-76.678536
2023-02-05,39.324676,-76.590308
2023-04-17,39.250027,-76.6311
2023-04-14,39.307899,-76.585619
2022-12-29,39.293721,-76.623351
2023-03-28,39.281104,-76.645406
2023-02-25,39.296266,-76.656483
2023-01-16,39.294408,-76.663391
2023-01-26,39.243489,-76.626152
2023-01-25,39.329712,-76.690546
2023-01-17,39.31085,-76.591714
2023-01-28,39.303968,-76.635289
2023-01-28,39.303968,-76.635289
2023-01-29,39.347008,-76.603198
2023-01-27,39.339673,-76.68355
2022-12-27,39.299506,-76.575898
2022-12-21,39.289293,-76.619521
2022-12-23,39.301737,-76.596357
2023-01-24,39.310569,-76.602879
2022-12-30,39.307785,-76.651527
2023-01-07,39.294859,-76.600194
2022-12-30,39.255498,-76.642846
2022-12-29,39.285142,-76.648573
2022-11-20,39.243489,-76.626152
2023-01-12,39.303373,-76.616118
2023-01-12,39.309488,-76.634892
2023-03-07,39.327449,-76.682581
2023-02-28,39.227878,-76.601046
2023-01-01,39.298985,-76.580255
2023-03-06,39.290657,-76.541024
2023-01-19,39.351442,-76.682973
2023-01-23,39.230594,-76.601227
2023-01-18,39.290699,-76.644699
2022-12-26,39.313323,-76.623088
2023-02-26,39.371241,-76.566921
2022-12-26,39.345287,-76.681522
2022-12-13,39.333962,-76.531668
2022-12-21,39.344678,-76.682004
2023-02-10,39.329704,-76.565481
2022-12-11,39.340603,-76.593336
2023-01-21,39.347014,-76.608955
2023-03-03,39.324304,-76.609188
2022-12-18,39.295484,-76.638884
2023-01-04,39.295706,-76.572645
2023-01-04,39.293624,-76.689892
2022-11-05,39.304808,-76.582598
2023-01-28,39.303968,-76.635289
2022-10-29,39.320974,-76.654508
2022-10-15,39.279013,-76.656114
2022-10-16,39.286507,-76.678091
2022-11-12,39.348634,-76.67397
2022-11-13,39.308664,-76.642655
2022-11-05,39.339442,-76.684719
2023-01-13,39.285584,-76.673203
2022-12-08,39.341152,-76.671172
2022-12-08,39.251272,-76.646193
2022-10-23,39.315628,-76.593886
2022-11-23,39.29727,-76.581561
2022-10-16,39.312765,-76.60515
2022-10-19,39.346593,-76.680712
2022-11-27,39.30107,-76.58095
2022-12-26,39.318437,-76.653356
2022-11-15,39.295396,-76.589318
2022-12-07,39.33694,-76.659775
2022-12-02,39.278124,-76.617725
2022-10-27,39.24985,-76.639445
2022-12-02,39.340375,-76.667081
2022-12-10,39.335641,-76.537025
2022-12-07,39.33456,-76.662783
2022-10-19,39.339585,-76.662819
2023-01-15,39.277114,-76.685647
2022-11-28,39.340629,-76.674003
2022-11-29,39.319811,-76.597873
2022-12-07,39.369955,-76.562757
2022-12-01,39.299758,-76.55469
2022-11-15,39.307002,-76.581322
2022-10-18,39.278322,-76.638239
2022-11-18,39.255104,-76.651063
2022-09-13,39.293775,-76.567747
2022-11-03,39.28311,-76.645693
2022-09-26,39.267593,-76.6506
2022-09-20,39.308728,-76.591585
2022-11-03,39.305017,-76.601735
2022-10-05,39.306307,-76.600524
2022-10-21,39.300115,-76.640257
2022-10-21,39.351974,-76.685738
2023-01-05,39.319168,-76.650611
2022-09-01,39.343603,-76.595276
2022-09-02,39.332779,-76.588976
2022-10-31,39.281364,-76.652586
2022-11-20,39.279977,-76.656534
2022-11-05,39.307384,-76.575682
2022-11-28,39.300547,-76.59461
2022-10-13,39.310493,-76.641275
2023-01-13,39.23088,-76.600762
2022-08-20,39.281496,-76.652649
2022-08-22,39.33909,-76.657817
2022-08-25,39.328548,-76.609509
2022-10-13,39.306087,-76.663383
2022-12-07,39.33792,-76.663107
2022-11-29,39.288722,-76.67308
2022-12-12,39.234842,-76.611316
2022-11-17,39.301244,-76.669579
2022-09-26,39.237401,-76.606047
2022-12-04,39.357572,-76.590845
2022-09-20,39.24649,-76.626833
